rank,athlete_name,country,div_rank,gender_rank,overall_rank,designation,bib,division,points,swim_time,swim_time_detail,swim_div_rank,swim_gender_rank,swim_overall_rank,transition_1,transition_1_detail,bike_time,bike_time_detail,bike_div_rank,bike_gender_rank,bike_overall_rank,transition_2,transition_2_detail,run_time,run_time_detail,run_div_rank,run_gender_rank,run_overall_rank,finish_time
43,Jo Wright,GB,6,43,43,Finisher,617,F30-34,4600,1:07:21,1:07:21,52,240,240,0:03:15,0:03:15,5:40:35,5:40:35,2,32,32,0:03:15,0:03:15,3:32:58,3:32:58,6,43,43,10:27:24
44,Antonina Reznikov,,2,44,44,Finisher,815,F40-44,4951,1:05:29,1:05:29,34,190,190,0:05:05,0:05:05,6:00:02,6:00:02,6,59,59,0:04:15,0:04:15,3:14:36,3:14:36,2,44,44,10:29:26
45,GEORGINA GADIENT,,2,45,45,Finisher,1441,F45-49,4900,1:05:39,1:05:39,17,193,193,0:04:16,0:04:16,5:44:39,5:44:39,3,41,41,0:03:56,0:03:56,3:31:14,3:31:14,2,45,45,10:29:43
46,Barbora Besperát,CZ,32,46,46,Finisher,41,FPRO,0,1:15:20,1:15:20,35,578,578,0:02:50,0:02:50,5:43:48,5:43:48,32,51,51,0:02:38,0:02:38,3:25:14,3:25:14,32,46,46,10:29:49
47,Natasha Harris-White,GB,3,47,47,Finisher,1166,F25-29,4857,0:59:46,0:59:46,12,77,77,0:04:19,0:04:19,6:06:57,6:06:57,4,62,62,0:03:28,0:03:28,3:15:47,3:15:47,3,47,47,10:30:17
48,Corina Hengartner,,3,48,48,Finisher,1386,F45-49,4893,1:00:43,1:00:43,6,93,93,0:03:52,0:03:52,5:48:18,5:48:18,1,35,35,0:03:59,0:03:59,3:33:25,3:33:25,3,48,48,10:30:18
49,Catherine Rossmann,DE,3,49,49,Finisher,257,F35-39,4579,1:11:26,1:11:26,61,415,415,0:04:55,0:04:55,5:47:50,5:47:50,4,53,53,0:03:08,0:03:08,3:24:15,3:24:15,3,49,49,10:31:35
50,Ewelina Wolos,PL,4,50,50,Finisher,182,F35-39,4576,1:09:41,1:09:41,36,331,331,0:03:20,0:03:20,5:48:13,5:48:13,3,48,48,0:04:57,0:04:57,3:25:37,3:25:37,4,50,50,10:31:49
51,Henna Junnila,,7,51,51,Finisher,603,F30-34,4532,1:07:16,1:07:16,49,236,236,0:03:32,0:03:32,6:06:44,6:06:44,17,74,74,0:03:52,0:03:52,3:11:43,3:11:43,7,51,51,10:33:07
52,Kristina Grieger,,5,52,52,Finisher,235,F35-39,4541,1:05:05,1:05:05,16,183,183,0:03:30,0:03:30,6:02:29,6:02:29,6,63,63,0:03:29,0:03:29,3:20:13,3:20:13,5,52,52,10:34:45
53,Ilse Paulis Meyrick-Cole,NL,8,53,53,Finisher,665,F30-34,4503,1:07:49,1:07:49,56,255,255,0:05:32,0:05:32,5:56:25,5:56:25,10,58,58,0:06:04,0:06:04,3:19:39,3:19:39,8,53,53,10:35:30
54,Marit Lindemann,DE,9,54,54,Finisher,619,F30-34,4497,1:06:43,1:06:43,45,223,223,0:03:52,0:03:52,6:03:11,6:03:11,13,67,67,0:03:58,0:03:58,3:18:18,3:18:18,9,54,54,10:36:02
55,Merle Talviste,,3,55,55,Finisher,896,F40-44,4849,0:55:54,0:55:54,3,34,34,0:04:03,0:04:03,6:03:56,6:03:56,4,52,52,0:04:50,0:04:50,3:29:10,3:29:10,3,55,55,10:37:53
56,Berber Kramer,NL,4,56,56,Finisher,898,F40-44,4837,1:06:23,1:06:23,40,210,210,0:04:42,0:04:42,5:43:35,5:43:35,2,42,42,0:03:57,0:03:57,3:40:16,3:40:16,4,56,56,10:38:54
57,Princess Shaddick,,10,57,57,Finisher,693,F30-34,4458,1:07:04,1:07:04,46,229,229,0:04:44,0:04:44,6:01:38,6:01:38,12,66,66,0:03:21,0:03:21,3:22:30,3:22:30,10,57,57,10:39:16
58,Lauren Brandon,US,33,58,58,Finisher,25,FPRO,0,0:49:16,0:49:16,4,4,4,0:02:45,0:02:45,5:41:47,5:41:47,21,21,21,0:02:46,0:02:46,4:02:49,4:02:49,33,58,58,10:39:23
59,Jessica Ittner,,11,59,59,Finisher,638,F30-34,4449,1:08:15,1:08:15,64,275,275,0:03:37,0:03:37,6:02:48,6:02:48,14,70,70,0:02:45,0:02:45,3:22:37,3:22:37,11,59,59,10:40:02
60,Laura Heinonen,FI,6,60,60,Finisher,143,F35-39,4450,1:08:55,1:08:55,29,305,305,0:03:25,0:03:25,6:00:45,6:00:45,7,64,64,0:03:27,0:03:27,3:25:47,3:25:47,6,60,60,10:42:19
61,Robyn Hardage,CA,5,61,61,Finisher,772,F40-44,4794,1:02:12,1:02:12,20,110,110,0:04:12,0:04:12,6:12:31,6:12:31,10,79,79,0:04:54,0:04:54,3:18:39,3:18:39,5,61,61,10:42:27
62,Ilona Eversdijk,NL,12,62,62,Finisher,610,F30-34,4417,0:55:54,0:55:54,7,35,35,0:03:31,0:03:31,5:58:44,5:58:44,7,46,46,0:03:53,0:03:53,3:40:36,3:40:36,12,62,62,10:42:38
63,Essie Amery,,6,63,63,Finisher,824,F40-44,4770,1:02:42,1:02:42,21,118,118,0:05:31,0:05:31,6:09:44,6:09:44,9,77,77,0:04:05,0:04:05,3:22:27,3:22:27,6,63,63,10:44:28
64,Janette Dommer,DK,1,64,64,Finisher,1050,F50-54,5000,1:02:40,1:02:40,6,115,115,0:03:13,0:03:13,6:04:57,6:04:57,1,61,61,0:03:11,0:03:11,3:31:05,3:31:05,1,64,64,10:45:06
65,Satu Suuronen,FI,7,65,65,Finisher,797,F40-44,4760,1:10:03,1:10:03,63,347,347,0:03:43,0:03:43,6:09:20,6:09:20,14,97,97,0:03:20,0:03:20,3:18:55,3:18:55,7,65,65,10:45:21
66,Petra Krause,DE,7,66,66,Finisher,116,F35-39,4409,1:08:57,1:08:57,30,309,309,0:04:06,0:04:06,6:12:57,6:12:57,14,104,104,0:03:12,0:03:12,3:16:33,3:16:33,7,66,66,10:45:45
67,Cassandre Kimberley,FR,8,67,67,Finisher,151,F35-39,4406,1:13:44,1:13:44,70,501,501,0:04:51,0:04:51,6:01:37,6:01:37,9,81,81,0:04:06,0:04:06,3:21:43,3:21:43,8,67,67,10:46:01
68,Ushakova Svetlana,BE,13,68,68,Finisher,532,F30-34,4373,0:52:26,0:52:26,2,13,13,0:03:35,0:03:35,6:00:27,6:00:27,6,44,44,0:02:24,0:02:24,3:47:27,3:47:27,13,68,68,10:46:20
69,Jana Müller,DE,4,69,69,Finisher,1177,F25-29,4664,1:02:00,1:02:00,21,108,108,0:04:17,0:04:17,6:07:44,6:07:44,5,68,68,0:04:33,0:04:33,3:27:48,3:27:48,4,69,69,10:46:23
70,Jenni Paglia,,9,70,70,Finisher,128,F35-39,4399,1:08:49,1:08:49,27,301,301,0:03:48,0:03:48,6:05:04,6:05:04,8,75,75,0:03:51,0:03:51,3:25:07,3:25:07,9,70,70,10:46:38
71,Amalia Sanchez Albo,,14,71,71,Finisher,585,F30-34,4366,1:00:28,1:00:28,15,87,87,0:02:50,0:02:50,6:22:48,6:22:48,25,107,107,0:03:20,0:03:20,3:17:30,3:17:30,14,71,71,10:46:56
72,Christina Paulus,DE,10,72,72,Finisher,134,F35-39,4385,1:09:27,1:09:27,35,326,326,0:04:48,0:04:48,6:15:35,6:15:35,15,118,118,0:03:11,0:03:11,3:14:47,3:14:47,10,72,72,10:47:48
73,Diana Castillo Franco,,34,73,73,Finisher,37,FPRO,0,0:53:08,0:53:08,12,16,16,0:03:00,0:03:00,6:26:53,6:26:53,34,95,95,0:03:32,0:03:32,3:22:48,3:22:48,34,73,73,10:49:20
74,Lindsay Rheiner,US,15,74,74,Finisher,651,F30-34,4335,1:07:19,1:07:19,50,237,237,0:05:51,0:05:51,6:27:51,6:27:51,44,175,175,0:04:28,0:04:28,3:04:00,3:04:00,15,74,74,10:49:28
75,MIZUKI HIRAYANAGI,JP,16,75,75,Finisher,630,F30-34,4331,1:02:52,1:02:52,23,121,121,0:03:52,0:03:52,6:18:54,6:18:54,22,101,101,0:02:53,0:02:53,3:21:18,3:21:18,16,75,75,10:49:50
76,Beni Gras-Thompson,US,2,76,76,Finisher,954,F50-54,4941,1:02:27,1:02:27,5,113,113,0:05:23,0:05:23,6:10:39,6:10:39,2,78,78,0:05:12,0:05:12,3:26:18,3:26:18,2,76,76,10:49:58
77,Annie Byrne,GB,17,77,77,Finisher,656,F30-34,4322,0:53:04,0:53:04,3,14,14,0:05:06,0:05:06,6:23:59,6:23:59,21,94,94,0:03:25,0:03:25,3:25:03,3:25:03,17,77,77,10:50:36
78,LARISSA MARYA FABRINI DE OLIVEIRA,BR,11,78,78,Finisher,201,F35-39,4337,1:09:45,1:09:45,37,333,333,0:03:45,0:03:45,6:07:56,6:07:56,11,88,88,0:04:30,0:04:30,3:25:48,3:25:48,11,78,78,10:51:44
79,Helena Kotopulu,CZ,8,79,79,Finisher,742,F40-44,4675,1:11:26,1:11:26,74,414,414,0:04:54,0:04:54,6:07:31,6:07:31,15,99,99,0:04:16,0:04:16,3:24:19,3:24:19,8,79,79,10:52:26
80,Lærke Schjødt Rasmussen,DK,18,80,80,Finisher,717,F30-34,4295,1:07:26,1:07:26,55,248,248,0:04:09,0:04:09,5:56:48,5:56:48,9,57,57,0:02:57,0:02:57,3:41:30,3:41:30,18,80,80,10:52:51
81,Lucy Bartholomew,AU,5,81,81,Finisher,1176,F25-29,4574,1:16:48,1:16:48,71,622,622,0:05:37,0:05:37,6:16:20,6:16:20,13,153,153,0:03:26,0:03:26,3:11:39,3:11:39,5,81,81,10:53:51
82,Emily Marchant,GB,19,82,82,Finisher,549,F30-34,4269,1:14:49,1:14:49,102,562,562,0:05:00,0:05:00,6:25:30,6:25:30,53,207,207,0:02:39,0:02:39,3:07:02,3:07:02,19,82,82,10:55:00
83,Bieke Trenson,BE,12,83,83,Finisher,208,F35-39,4281,1:04:54,1:04:54,11,170,170,0:04:27,0:04:27,6:12:20,6:12:20,12,90,90,0:03:06,0:03:06,3:31:36,3:31:36,12,83,83,10:56:24
84,Marion Sicot,FR,20,84,84,Finisher,622,F30-34,4247,1:15:34,1:15:34,104,587,587,0:04:40,0:04:40,6:01:49,6:01:49,20,92,92,0:03:03,0:03:03,3:31:44,3:31:44,20,84,84,10:56:49
85,Melanie Van Soeren,CA,13,85,85,Finisher,256,F35-39,4275,1:10:57,1:10:57,50,387,387,0:04:40,0:04:40,6:24:49,6:24:49,23,169,169,0:06:05,0:06:05,3:10:24,3:10:24,13,85,85,10:56:55
86,Gudrun Steiner,AT,9,86,86,Finisher,724,F40-44,4611,1:04:52,1:04:52,30,169,169,0:03:05,0:03:05,6:13:20,6:13:20,11,86,86,0:02:43,0:02:43,3:33:42,3:33:42,9,86,86,10:57:43
87,Kristina Starheim,NO,14,87,87,Finisher,273,F35-39,4259,1:03:03,1:03:03,4,134,134,0:03:56,0:03:56,6:13:32,6:13:32,10,83,83,0:02:52,0:02:52,3:34:54,3:34:54,14,87,87,10:58:17
88,Annick Boehler,DE,21,88,88,Finisher,631,F30-34,4224,1:10:39,1:10:39,76,374,374,0:04:45,0:04:45,6:10:36,6:10:36,23,103,103,0:03:15,0:03:15,3:29:30,3:29:30,21,88,88,10:58:45
89,Amanda Macuiba,,22,89,89,Finisher,694,F30-34,4219,0:59:34,0:59:34,12,75,75,0:04:55,0:04:55,6:29:30,6:29:30,35,133,133,0:04:42,0:04:42,3:20:28,3:20:28,22,89,89,10:59:08
90,Lauren Lipsey,US,10,90,90,Finisher,895,F40-44,4589,1:03:00,1:03:00,24,131,131,0:03:50,0:03:50,6:19:29,6:19:29,17,108,108,0:03:07,0:03:07,3:30:10,3:30:10,10,90,90,10:59:35
91,Sophia Ibert,DE,6,91,91,Finisher,1133,F25-29,4501,0:59:58,0:59:58,15,83,83,0:03:21,0:03:21,5:49:38,5:49:38,1,36,36,0:03:26,0:03:26,4:03:37,4:03:37,6,91,91,10:59:59
92,Katherine Amps,GB,7,92,92,Finisher,1199,F25-29,4493,1:03:19,1:03:19,24,136,136,0:05:29,0:05:29,6:11:27,6:11:27,7,82,82,0:05:15,0:05:15,3:35:09,3:35:09,7,92,92,11:00:38
93,Katharina Grölz,DE,4,93,93,Finisher,1409,F45-49,4523,1:09:28,1:09:28,32,327,327,0:03:16,0:03:16,6:10:19,6:10:19,5,96,96,0:03:56,0:03:56,3:34:08,3:34:08,4,93,93,11:01:07
94,Michelle Simons,,23,94,94,Finisher,700,F30-34,4193,1:05:24,1:05:24,40,186,186,0:05:22,0:05:22,6:15:16,6:15:16,24,105,105,0:02:36,0:02:36,3:32:41,3:32:41,23,94,94,11:01:19
95,Anne Zijderveld,,11,95,95,Finisher,863,F40-44,4561,0:58:24,0:58:24,12,66,66,0:04:26,0:04:26,6:19:15,6:19:15,13,93,93,0:03:51,0:03:51,3:36:00,3:36:00,11,95,95,11:01:56
96,Bruna Stolf,BR,35,96,96,Finisher,47,FPRO,0,0:56:23,0:56:23,18,41,41,0:02:40,0:02:40,6:38:28,6:38:28,35,149,149,0:05:28,0:05:28,3:19:35,3:19:35,35,96,96,11:02:34
97,Ellen Skerritt,AU,24,97,97,Finisher,719,F30-34,4171,1:07:23,1:07:23,53,243,243,0:05:11,0:05:11,6:08:45,6:08:45,18,87,87,0:03:02,0:03:02,3:38:48,3:38:48,24,97,97,11:03:09
98,Marloes Meinders,NL,25,98,98,Finisher,547,F30-34,4169,1:10:51,1:10:51,78,381,381,0:05:51,0:05:51,6:24:44,6:24:44,45,178,178,0:03:35,0:03:35,3:18:18,3:18:18,25,98,98,11:03:19
99,Diana Müller,CH,12,99,99,Finisher,839,F40-44,4539,1:13:34,1:13:34,88,494,494,0:04:44,0:04:44,6:18:01,6:18:01,23,142,142,0:06:07,0:06:07,3:21:15,3:21:15,12,99,99,11:03:42
100,Samantha Amery,GB,26,100,100,Finisher,588,F30-34,4158,1:04:28,1:04:28,36,158,158,0:04:22,0:04:22,6:18:41,6:18:41,27,110,110,0:03:22,0:03:22,3:33:24,3:33:24,26,100,100,11:04:16
101,Michela Segalada,CH,27,101,101,Finisher,551,F30-34,4154,1:14:04,1:14:04,93,521,521,0:05:02,0:05:02,6:02:53,6:02:53,19,91,91,0:04:11,0:04:11,3:38:24,3:38:24,27,101,101,11:04:34
102,Katie Rodger,CA,13,102,102,Finisher,905,F40-44,4518,0:58:04,0:58:04,8,60,60,0:05:29,0:05:29,6:30:36,6:30:36,21,135,135,0:04:53,0:04:53,3:26:28,3:26:28,13,102,102,11:05:29
103,Caitlin Davis,AU,8,103,103,Finisher,1190,F25-29,4434,1:00:05,1:00:05,17,85,85,0:05:06,0:05:06,6:24:10,6:24:10,9,116,116,0:04:46,0:04:46,3:31:29,3:31:29,8,103,103,11:05:35
104,Marie-Cristine Kaptan,,28,104,104,Finisher,534,F30-34,4141,1:13:40,1:13:40,88,500,500,0:05:47,0:05:47,6:24:45,6:24:45,50,193,193,0:05:11,0:05:11,3:16:15,3:16:15,28,104,104,11:05:39
105,Julia Shouse,US,9,105,105,Finisher,1238,F25-29,4426,1:10:30,1:10:30,53,364,364,0:05:33,0:05:33,6:01:41,6:01:41,6,76,76,0:05:14,0:05:14,3:43:13,3:43:13,9,105,105,11:06:11
106,Anna-Kaisa Pietilainen,FI,14,106,106,Finisher,746,F40-44,4509,1:00:41,1:00:41,14,92,92,0:03:58,0:03:58,6:09:54,6:09:54,7,69,69,0:03:48,0:03:48,3:47:52,3:47:52,14,106,106,11:06:13
107,Rebecca Goodwin,GB,15,107,107,Finisher,145,F35-39,4156,1:04:52,1:04:52,10,168,168,0:03:20,0:03:20,6:29:18,6:29:18,19,148,148,0:03:11,0:03:11,3:26:11,3:26:11,15,107,107,11:06:52
108,Melissa Bonvin,CH,16,108,108,Finisher,198,F35-39,4147,1:18:19,1:18:19,92,678,678,0:04:15,0:04:15,6:16:50,6:16:50,21,160,160,0:05:29,0:05:29,3:22:42,3:22:42,16,108,108,11:07:36
109,Laura Gautier,FR,29,109,109,Finisher,614,F30-34,4108,1:10:43,1:10:43,77,376,376,0:04:31,0:04:31,6:17:02,6:17:02,30,124,124,0:03:05,0:03:05,3:33:06,3:33:06,29,109,109,11:08:27
110,Edina Jung,CH,3,110,110,Finisher,973,F50-54,4719,1:07:09,1:07:09,10,234,234,0:05:41,0:05:41,6:22:03,6:22:03,4,139,139,0:04:05,0:04:05,3:29:33,3:29:33,3,110,110,11:08:30
111,Yixuan Chen,,1,111,111,Finisher,1131,F18-24,5000,0:56:50,0:56:50,2,45,45,0:04:34,0:04:34,6:32:42,6:32:42,5,134,134,0:07:11,0:07:11,3:27:44,3:27:44,1,111,111,11:09:00
112,Simone Weber,CH,15,112,112,Finisher,909,F40-44,4470,0:58:18,0:58:18,10,64,64,0:04:20,0:04:20,5:53:55,5:53:55,3,45,45,0:03:35,0:03:35,4:09:22,4:09:22,15,112,112,11:09:31
113,Sanna Paavilainen,FI,16,113,113,Finisher,1478,F40-44,4464,1:07:00,1:07:00,46,227,227,0:04:44,0:04:44,6:16:54,6:16:54,18,115,115,0:05:36,0:05:36,3:35:42,3:35:42,16,113,113,11:09:57
114,Petra Bakosova,SK,17,114,114,Finisher,211,F35-39,4116,1:08:51,1:08:51,28,303,303,0:04:54,0:04:54,6:31:06,6:31:06,26,197,197,0:03:08,0:03:08,3:22:13,3:22:13,17,114,114,11:10:13
